Velocity Profile of Model Wake

q Corr Factor,  0.950

Atm Press [Pa],  99700.000

Atm Temp [C],  21.500

Density [kg/m^3],  1.180

Average Tunnel Velocity [m/s],  20.575

Streamwise location [mm],238.100


Lateral Position [mm], Pitot/Static Vel [m/s], Pitot/Static Vel Stdev [m/s], Hot Wire Vel [m/s], Hot Wire Vel Stdev [m/s]
-60.000,  19.759,  0.205,  16.658,  0.549
-58.000,  19.753,  0.231,  16.607,  0.625
-56.000,  19.749,  0.275,  16.655,  0.710
-54.000,  19.654,  0.323,  16.614,  0.834
-52.000,  19.636,  0.362,  16.536,  0.946
-50.000,  19.656,  0.402,  16.622,  1.012
-48.000,  19.599,  0.447,  16.528,  1.182
-46.000,  19.586,  0.460,  16.414,  1.256
-44.000,  19.512,  0.542,  16.370,  1.330
-42.000,  19.504,  0.568,  16.341,  1.450
-40.000,  19.363,  0.630,  16.310,  1.525
-38.000,  19.402,  0.618,  16.252,  1.673
-36.000,  19.215,  0.730,  16.123,  1.782
-34.000,  19.222,  0.686,  16.031,  1.932
-32.000,  19.177,  0.746,  16.020,  1.991
-30.000,  19.059,  0.814,  15.894,  2.096
-28.000,  18.889,  0.902,  15.656,  2.190
-26.000,  18.832,  0.905,  15.520,  2.352
-24.000,  18.818,  0.975,  15.471,  2.402
-22.000,  18.460,  1.009,  15.105,  2.477
-20.000,  18.318,  1.100,  15.037,  2.576
-18.000,  18.077,  1.171,  15.012,  2.635
-16.000,  17.773,  1.285,  14.455,  2.731
-14.000,  17.410,  1.340,  14.359,  2.766
-12.000,  17.147,  1.506,  13.970,  2.807
-10.000,  16.761,  1.550,  13.679,  2.871
-8.000,  16.517,  1.651,  13.557,  2.885
-6.000,  16.272,  1.671,  13.235,  2.863
-4.000,  15.884,  1.769,  12.896,  2.896
-2.000,  15.785,  1.863,  12.877,  2.889
0.000,  15.863,  1.932,  12.928,  2.896
2.000,  15.870,  1.768,  12.997,  2.852
4.000,  15.828,  1.902,  12.948,  2.861
6.000,  16.093,  1.818,  13.176,  2.899
8.000,  16.584,  1.676,  13.429,  2.863
10.000,  16.700,  1.681,  13.654,  2.846
12.000,  17.079,  1.499,  13.760,  2.886
14.000,  17.117,  1.471,  14.322,  2.798
16.000,  17.607,  1.431,  14.513,  2.746
18.000,  17.803,  1.280,  14.885,  2.714
20.000,  18.285,  1.109,  15.169,  2.686
22.000,  18.354,  1.095,  15.258,  2.618
24.000,  18.653,  0.998,  15.507,  2.535
26.000,  18.855,  0.976,  15.696,  2.391
28.000,  18.877,  0.971,  15.930,  2.257
30.000,  19.037,  0.902,  16.119,  2.194
32.000,  19.389,  0.793,  16.222,  2.136
34.000,  19.383,  0.793,  16.351,  1.995
36.000,  19.475,  0.759,  16.338,  1.883
38.000,  19.586,  0.690,  16.527,  1.740
40.000,  19.618,  0.649,  16.617,  1.666
42.000,  19.741,  0.617,  16.720,  1.597
44.000,  19.832,  0.565,  16.751,  1.442
46.000,  19.855,  0.519,  16.915,  1.338
48.000,  19.899,  0.507,  16.947,  1.280
50.000,  20.022,  0.413,  17.054,  1.123
52.000,  19.994,  0.367,  16.977,  1.013
54.000,  20.072,  0.354,  16.953,  0.943
56.000,  20.106,  0.313,  17.134,  0.832
58.000,  20.185,  0.276,  17.282,  0.749
60.000,  20.176,  0.235,  17.280,  0.633
