FFT Profile of Model Wake,,,
,,,
q Corr Factor,0.95,,
,,,
Atm Press [Pa],99700,,
,,,
Atm Temp [C],21.5,,
,,,
Density [kg/m^3],1.18,,
,,,
Average Tunnel Velocity [m/s],15.087,,
,,,
Streamwise location [mm],66.7,,NOTE:  has been corrected
,,,
Lateral location [mm],14,,
,,,
,,,
Frequency [Hz], FFT Amplitude [Vrms],,
1960.937,0.049,,
1968.75,0.045,,
1976.562,0.046,,
1984.375,0.047,,
1992.187,0.051,,
2000,0.052,,
2007.812,0.051,,
2015.625,0.051,,
2023.437,0.045,,
2031.25,0.049,,
2039.062,0.052,,
2046.875,0.049,,
2054.687,0.046,,
2062.5,0.053,,
2070.312,0.047,,
2078.125,0.044,,
2085.937,0.049,,
2093.75,0.046,,
2101.562,0.041,,
2109.375,0.041,,
2117.187,0.043,,
2125,0.043,,
2132.812,0.042,,
2140.625,0.043,,
2148.437,0.045,,
2156.25,0.048,,
2164.062,0.049,,
2171.875,0.042,,
2179.687,0.041,,
2187.5,0.046,,
2195.312,0.042,,
2203.125,0.044,,
2210.937,0.045,,
2218.75,0.043,,
2226.562,0.042,,
2234.375,0.044,,
2242.187,0.048,,
2250,0.046,,
2257.812,0.042,,
2265.625,0.041,,
2273.437,0.042,,
2281.25,0.046,,
2289.062,0.046,,
2296.875,0.043,,
2304.687,0.038,,
2312.5,0.038,,
2320.312,0.044,,
2328.125,0.041,,
2335.937,0.039,,
2343.75,0.038,,
2351.562,0.039,,
2359.375,0.042,,
2367.187,0.046,,
2375,0.045,,
2382.812,0.043,,
2390.625,0.043,,
2398.437,0.04,,
2406.25,0.039,,
2414.062,0.044,,
2421.875,0.045,,
2429.687,0.044,,
2437.5,0.04,,
2445.312,0.033,,
2453.125,0.035,,
2460.937,0.039,,
2468.75,0.041,,
2476.562,0.036,,
2484.375,0.038,,
2492.187,0.041,,
2500,0.044,,
2507.812,0.046,,
2515.625,0.043,,
2523.437,0.039,,
2531.25,0.038,,
2539.062,0.04,,
2546.875,0.035,,
2554.687,0.037,,
2562.5,0.039,,
2570.312,0.04,,
2578.125,0.036,,
2585.937,0.035,,
2593.75,0.034,,
2601.562,0.031,,
2609.375,0.033,,
2617.187,0.031,,
2625,0.032,,
2632.812,0.037,,
2640.625,0.042,,
2648.437,0.044,,
2656.25,0.039,,
2664.062,0.034,,
2671.875,0.034,,
2679.687,0.04,,
2687.5,0.033,,
2695.312,0.04,,
2703.125,0.039,,
2710.937,0.038,,
2718.75,0.039,,
2726.562,0.037,,
2734.375,0.034,,
2742.187,0.034,,
2750,0.036,,
2757.812,0.041,,
2765.625,0.038,,
2773.437,0.032,,
2781.25,0.035,,
2789.062,0.035,,
2796.875,0.035,,
2804.687,0.034,,
2812.5,0.032,,
2820.312,0.036,,
2828.125,0.037,,
2835.937,0.037,,
2843.75,0.04,,
2851.562,0.041,,
2859.375,0.039,,
2867.187,0.036,,
2875,0.034,,
2882.812,0.033,,
2890.625,0.032,,
2898.437,0.037,,
2906.25,0.037,,
2914.062,0.036,,
2921.875,0.033,,
2929.687,0.03,,
2937.5,0.034,,
2945.312,0.033,,
2953.125,0.032,,
2960.937,0.033,,
2968.75,0.032,,
2976.562,0.034,,
2984.375,0.037,,
2992.187,0.039,,
3000,0.04,,
3007.812,0.035,,
3015.625,0.032,,
3023.437,0.031,,
3031.25,0.029,,
3039.062,0.031,,
3046.875,0.032,,
3054.687,0.034,,
3062.5,0.032,,
3070.312,0.031,,
3078.125,0.032,,
3085.937,0.034,,
3093.75,0.033,,
3101.562,0.029,,
3109.375,0.03,,
3117.187,0.032,,
3125,0.03,,
3132.812,0.031,,
3140.625,0.034,,
3148.437,0.031,,
3156.25,0.027,,
3164.062,0.029,,
3171.875,0.033,,
3179.687,0.035,,
3187.5,0.032,,
3195.312,0.031,,
3203.125,0.031,,
3210.937,0.031,,
3218.75,0.032,,
3226.562,0.03,,
3234.375,0.034,,
3242.187,0.033,,
3250,0.034,,
3257.812,0.032,,
3265.625,0.031,,
3273.437,0.034,,
3281.25,0.034,,
3289.062,0.032,,
3296.875,0.026,,
3304.687,0.03,,
3312.5,0.033,,
3320.312,0.03,,
3328.125,0.032,,
3335.937,0.031,,
3343.75,0.028,,
3351.562,0.029,,
3359.375,0.031,,
3367.187,0.03,,
3375,0.033,,
3382.812,0.032,,
3390.625,0.031,,
3398.437,0.033,,
3406.25,0.033,,
3414.062,0.033,,
3421.875,0.032,,
3429.687,0.035,,
3437.5,0.03,,
3445.312,0.029,,
3453.125,0.032,,
3460.937,0.032,,
3468.75,0.032,,
3476.562,0.032,,
3484.375,0.033,,
3492.187,0.034,,
3500,0.034,,
3507.812,0.032,,
3515.625,0.031,,
3523.437,0.03,,
3531.25,0.031,,
3539.062,0.029,,
3546.875,0.028,,
3554.687,0.029,,
3562.5,0.027,,
3570.312,0.028,,
3578.125,0.027,,
3585.937,0.027,,
3593.75,0.03,,
3601.562,0.026,,
3609.375,0.027,,
3617.187,0.028,,
3625,0.027,,
3632.812,0.028,,
3640.625,0.026,,
3648.437,0.029,,
3656.25,0.031,,
3664.062,0.032,,
3671.875,0.028,,
3679.687,0.03,,
3687.5,0.03,,
3695.312,0.033,,
3703.125,0.03,,
3710.937,0.032,,
3718.75,0.03,,
3726.562,0.028,,
3734.375,0.026,,
3742.187,0.024,,
3750,0.027,,
3757.812,0.029,,
3765.625,0.027,,
3773.437,0.027,,
3781.25,0.029,,
3789.062,0.029,,
3796.875,0.031,,
3804.687,0.03,,
3812.5,0.03,,
3820.312,0.029,,
3828.125,0.03,,
3835.937,0.033,,
3843.75,0.031,,
3851.562,0.028,,
3859.375,0.029,,
3867.187,0.027,,
3875,0.025,,
3882.812,0.026,,
3890.625,0.027,,
3898.437,0.03,,
3906.25,0.029,,
3914.062,0.028,,
3921.875,0.026,,
3929.687,0.027,,
3937.5,0.03,,
3945.312,0.029,,
3953.125,0.027,,
3960.937,0.028,,
3968.75,0.027,,
3976.562,0.029,,
3984.375,0.029,,
3992.187,0.027,,
